field,parent_phase2b,cir_corrective,status,evidence
source_dataset,VisA_TRAIN,VisA_TRAIN,MATCHED,"same source role; source=visa"
source_root,/home/ai4/caohuy/data/VisA_20220922,/home/ai4/caohuy/data/VisA_20220922,MATCHED,"resolved path"
source_root_identity_sha256,098f7cceef433c2e36992f75cca95a027e1601075de6ca04d0d385045aaae4a6,098f7cceef433c2e36992f75cca95a027e1601075de6ca04d0d385045aaae4a6,MATCHED,"canonical path identity"
seed,0,0,MATCHED,"fixed seed"
clip_asset,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/model/ViT-L-14-336px.pt,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/model/ViT-L-14-336px.pt,MATCHED,"same frozen CLIP asset"
clip_asset_sha256,3035c92b350959924f9f00213499208652fc7ea050643e8b385c2dac08641f02,3035c92b350959924f9f00213499208652fc7ea050643e8b385c2dac08641f02,MATCHED,"verified SHA256"
parent_config_sha256,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,MATCHED,"CIR embeds canonical parent config SHA"
corrective_fix_git_sha,042174cdc63d9cb635566a1dae5b774056045383,042174cdc63d9cb635566a1dae5b774056045383,MATCHED,"same corrective code commit"
img_size,518,518,MATCHED,"same resolved parent config"
precision,fp32,fp32,MATCHED,"AMP disabled"
amp_enabled,false,false,MATCHED,"FP32 contract"
tf32_enabled,false,false,MATCHED,"FP32 contract"
micro_batch_size,6,6,MATCHED,"effective batch contract"
grad_accum_steps,1,1,MATCHED,"effective batch contract"
effective_batch_size,6,6,MATCHED,"micro x accumulation"
optimizer,Adam,Adam,MATCHED,"same optimizer family"
adam_betas,"(0.9, 0.999)","(0.9, 0.999)",MATCHED,"PyTorch Adam defaults"
adam_eps,1e-8,1e-8,MATCHED,"PyTorch Adam defaults"
weight_decay,0.0,0.0,MATCHED,"no group exempt from a nonzero decay policy"
optimizer_param_groups,"image_adapter;text_adapter;soft_prompt","image_adapter;text_adapter;soft_prompt",MATCHED,"same three trainable groups"
image_lr_initial,0.001,0.001,MATCHED,"parent config"
text_lr_initial,0.0005,0.0005,MATCHED,"parent config"
soft_prompt_lr_initial,0.0001,0.0001,MATCHED,"parent config; policy-managed"
image_text_lr_ratio,2.0,2.0,MATCHED,"initial group ratio"
image_prompt_lr_ratio,10.0,10.0,MATCHED,"initial group ratio"
step_lr_step_size,1,1,MATCHED,"one scheduler step per completed epoch"
step_lr_gamma,0.9,0.9,MATCHED,"canonical parent config"
scheduler_step_timing,"after epoch optimizer updates; before row/checkpoint","after epoch optimizer updates; before row/checkpoint",MATCHED,"corrective fix contract"
scheduler_resume,"load optimizer then scheduler state; resume epoch+1","load optimizer then scheduler state; resume epoch+1",MATCHED,"same resume contract"
loss_formula,"cls_loss + seg_loss + 0.001*kg_loss + 0.0*k_loss","cls_loss + seg_loss + 0.001*kg_loss + 0.0*k_loss",MATCHED,"same objective"
lambda_kg,0.001,0.001,MATCHED,"canonical parent config"
lambda_k,0.0,0.0,MATCHED,"canonical parent config"
grad_clip_norm,1.0,1.0,MATCHED,"same norm"
gradient_clipping_frequency,"once per optimizer update","once per optimizer update",MATCHED,"same accumulation/update boundary"
soft_prompt_policy,"freeze epochs 1-3; train from epoch 4; alpha schedule canonical","freeze epochs 1-3; train from epoch 4; alpha schedule canonical",MATCHED,"same phase2b schedule helper"
dfg_beta_schedule,warmup010,warmup010,MATCHED,"same DFG schedule"
dfg_beta_target,0.1,0.1,MATCHED,"same DFG target"
n_groups,3,3,MATCHED,"same three-stage grouping"
epochs,20,20,MATCHED,"same training horizon"
candidate_epochs,"10;12;14;16;18;20","10;12;14;16;18;20",MATCHED,"parent-configured schedule"
num_workers,4,4,MATCHED,"same loader execution"
pin_memory,true,true,MATCHED,"same loader execution"
persistent_workers,true,true,MATCHED,"same loader execution"
prefetch_factor,2,2,MATCHED,"same loader execution"
experimental_mechanism,"canonical Phase2B; no CIR/RMT transport","CIR/RMT V2 active; alpha=0.5; K=8; radius=3; midpoint median; MAD/tanh; abnormal_minus_normal_plus",INTENTIONAL_DIFFERENCE,"sole intended scientific difference"
cir_config_sha256,N/A,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,INTENTIONAL_DIFFERENCE,"CIR identity config binds the intended mechanism"
