area,historical_h2,clean_h2,status,evidence
model_input,"ViT-L-14-336; img_size=518; n_groups=3","same","PASS","historical train.log and checkpoint metadata"
image_text_adaptation,"image/text weights 0.2; LoRA 16/2; conv LoRA 8/2 kernels 3,5","same","PASS","EXACT_H2_CONTRACT.md and config"
prompt,"hybrid hard/soft; ctx=4; phrase='a photo of a'; alpha 0/0.05/0.1/0.2; freeze=3","same; explicit epoch schedule","PASS","train.py and factorial config"
objective,"cls + segmentation + 0.01 KG + 0.002 detached-W_K K-reg","same in H; A adds safe anchor; C adds train-only CIR","PASS","train.py and regularizer tests"
optimizer,"Adam; text/image/soft groups; lr 0.0005/0.001/0.00005; zero weight decay","same; soft policy explicit","PASS","train.py"
scheduler,"StepLR step_size=1 gamma=0.9 after epoch","same","PASS","train.py"
dfg,"attn dim=256 tau=8; SS2D weight_residual; beta warmup 0/0.05/0.1","same for all arms","PASS","checkpoint metadata and config"
precision,"AMP autocast plus GradScaler; grad clip 1.0; checkpointing","same; environment recorded","PASS","train.py and environment manifest"
augmentation,"historical VisA transforms, including p=.7 noise inversion","same; no augmentation edits","PASS_LEGACY_P_INVERSION","dataset audit"
module_mode,"historical train entry keeps model.eval semantics","same; explicitly preserved for adapter BatchNorm","PASS","train.py and adapter graph audit"
class_order,"set(class_names) traversal was nondeterministic","sorted(set(class_names))","FIXED","train.py"
randomness,"implicit process RNG","seed, worker epoch seeds, DataLoader generator, RNG checkpoint","PASS_CLEANED","contract.py and resume test"
checkpoint,"model-only adapter_*.pth; no optimizer/RNG continuation","historical aliases plus full checkpoint_version=2 payload","PASS_CLEAN_CONTINUATION","contract.py and resume test"
factorial,"not applicable","shared full-state E1 then H/A/C/AC from E2-E15","PASS_DESIGN_LOCKED","h2_clean_factorial_v1.json"
geometry,"no geometry change authorized","no geometry change","PASS","config geometry_authorized=false"
