comparison,current,historical_reference,status,impact,evidence
architecture,"""CIR_DFG_RMT_V2""","""legacy Phase2B""",MISMATCH_BY_DESIGN,The reference is not a CIR V2 control.,configs/cir_dfg_rmt_v2.json; configs/phase2b_canonical_v1.json
reference_epoch,"""V2 has no E10 checkpoint""","""E10""",MISMATCH,The supplied 90.98/40.35 anchor cannot be compared to V2 E12-E20 as a same-epoch result.,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/parsed_results.csv; /home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b/phase2b_hybrid_alpha02_kreg2e3_lkg1e2_lr5e5_train15_test6medical7to15_fromscratch/test.log
candidate_epochs,"[10, 12, 14, 16, 18, 20]","[10, 12, 14, 16, 18, 20]",MATCH,"Parent preregistration includes E10-E20, but V2 training omitted E10.",checkpoint resolved_scientific_config; scripts/cir_rmt/train_full.py:27
current_target_epochs,"[12, 14, 16, 18, 20]","[10, 12, 14, 16, 18, 20]",MISMATCH,E10 was the historical reference and is absent from the V2 artifact family.,scripts/cir_rmt/train_full.py:27; scripts/cir_rmt/run_full_cir_v2.sh
model,"""configs/phase2b_canonical_v1.json""","""ViT-L-14-336""",MATCH,Model family and input resolution are aligned where logged.,checkpoint metadata; historical train.log
image_size,518,518,MATCH,No image-size mismatch is indicated.,configs/phase2b_canonical_v1.json; historical train.log
effective_batch_size,6,6,MATCH,Batch geometry is not the primary explanation for the anchor gap.,checkpoint resolved_scientific_config; historical train.log
precision_amp,"""fp32""","{""amp"": true, ""precision"": ""amp""}",MISMATCH,Current V2 is FP32; historical Phase2B used AMP=True.,checkpoint metadata; historical train.log
grad_checkpointing,true,true,MATCH,Both logs/configs request gradient checkpointing.,configs/phase2b_canonical_v1.json; historical train.log
workers,4,6,MISMATCH,Loader workers differ but should not change deterministic test maps.,checkpoint resolved_scientific_config; historical train.log
pixel_stride,"""1""",4,MISMATCH,The historical 90.98/40.35 result uses a different pixel metric grid.,scripts/cir_rmt/eval_full.py; historical test.log; parsed_results.csv
medical_image_metrics,"""undefined -> null for one-class colon""","""0.00/0.00 in legacy table""",MISMATCH,Image metrics are not comparable for colon targets.,evaluation/evaluator.py; parsed_results.csv
