gate,result,restored_value,historical_evidence
ARCHITECTURE_PARITY,PASS,"ViT-L-14-336; image 518; groups 3; image/text weights 0.2; LoRA 16/2; Conv-LoRA 8/2 kernels 3/5","model/adapter_modules.py and model/clip.py are byte-identical to 31167af; adapter math is identical apart from observational dtype strings; frozen CLI values match"
ANCHOR_PARITY,PASS,"Safe Anchor lambda 0.0021633926715180626; exact family-safe gradient budget; cap 0.10","current Anchor implementation descends from 31167af unchanged in scientific configuration"
DFG_PARITY,PASS,"attn dim 256 tau 8; gamma 0.2; weight_residual; warmup010 target 0.1","adapter tensor math is identical to 31167af; only dtype strings were added after computation"
SS2D_PARITY,PASS,"enabled; weight-residual fusion","model/adapter_modules.py is byte-identical and adapter SS2D tensor math matches 31167af"
PROMPT_PARITY,PASS,"hybrid ctx4 phrase 'a photo of a'; freeze E1-E3; alpha 0/0.05/0.10/0.20","model/clip.py is byte-identical and train.py schedule matches 31167af"
OPTIMIZER_PARITY,PASS,"Adam weight_decay 0.0; FP32 state","torch.optim.Adam invocation and parameter groups match 31167af"
LR_PARITY,PASS,"image 0.001; text 0.0005; prompt 0.00005","frozen CLI values match historical runner"
SCHEDULER_PARITY,PASS,"StepLR step_size 1 gamma 0.9","train.py scheduler construction matches 31167af"
LOSS_PARITY,PASS,"loss_main + 0.01*KG + 0.002*K + anchor_lambda*anchor","loss construction matches 31167af"
DATA_PARITY,PASS,"VisA manifest SHA256 468463d2d6234fa7537c6da32b027758527676a12a54a4028c5a282cdd726842","dataset manifest and dataset implementation are byte-identical to 31167af"
AUGMENTATION_PARITY,PASS,"historical noise/color/resize/joint geometry pipeline","dataset/__init__.py is byte-identical to 31167af"
BATCH_PARITY,PASS,"batch_size 6; shuffle true; workers 6; seeded generator/worker init","frozen runner values and DataLoader construction match 31167af"
HORIZON_PARITY,PASS,"E15 primary","restoration contract fixes primary_horizon=15"
FP16_AUTOCAST,PASS,"torch.float16 autocast enabled","named precision resolver maps historical protocol to PrecisionPolicy(fp16)"
GRADSCALER_ON,PASS,true,"PrecisionPolicy(fp16).gradscaler_enabled is true"
BF16_DISABLED,PASS,true,"historical named protocol rejects bf16"
DFG_FP32_RESIDUAL,PASS,true,"dfg_weight_residual_fp32=true and adapter implementation matches 31167af"
HISTORICAL_TRANSFORMER_PATH,PASS,"native nn.MultiheadAttention AMP and native AMP MLP","historical named protocol sets enable_fp16_numerical_islands=false"
LATER_FP32_TRANSFORMER_ISLANDS_ACTIVE,NO,false,"later numerical-repair code is retained but unreachable in historical mode"
