root_cause,status,evidence,scope,causal_status,confidence
R1_image_adapter_overspecialization,UNPROVEN,"Image parameter drift is large and image-only swap changes the source pixel path, but category-heldout seen/heldout trends are mixed and all categories were present during training.","96-image source sample plus preregistered 32/64 image category split","correlational only",MEDIUM
R2_text_adapter_overspecialization,NOT_PRIMARY,"Text adapter normalized drift is 0.077-0.090 with parameter cosine >=0.995; text-only E14 intervention has a much smaller pixel effect than image-only intervention.","E10-E20 source diagnostics",NOT_SUPPORTED,HIGH
R3_soft_prompt_overspecialization,NOT_PRIMARY,"Soft-prompt drift is large, but prompt-only E14 intervention is small; text feature drift may include prompt effects and is not isolated by a causal target test.","E10-E20 source diagnostics",NOT_PROVEN,MEDIUM
R4_pixel_stage_representation_drift,SUPPORTED_PRIMARY,"Pooled segmentation cosine is 0.767-0.897 and detector cosine is 0.373-0.775; stage 2 is consistently the weakest; E14 image-only swap changes Pixel AUROC 0.961153 to 0.936674.","Same 96 VisA images, E10-E20; E14 module swap","intervention-supported, target effect not proven",HIGH
R5_CIR_training_compensates_RMT,NOT_SUPPORTED,"P05-P0 and C05-C0 probability changes are near numerical zero, with Pearson approximately 1 and top-1-percent overlap above 0.999.","Source paired inference and prior full Medical decomposition",NOT_SUPPORTED,HIGH
R6_RMT_intrinsic_weak,SUPPORTED_NEGATIVE_SIGNAL,"The alpha=.5 inference effect is neutral across the bounded source sweep and prior Medical pairs; this rejects a useful current inference signal but does not rule out a redesigned RMT.","Conditional on current trained representations",INFERENCE_EFFECT_SUPPORTED,HIGH
R7_high_normal_tail,POSSIBLE,"C0 E18 normal p99/p99.9 tails are materially above P, coinciding with the source AP drop; the effect is mixed across epochs and not yet target-validated.","E14/E18 source AP-tail diagnostic",CORRELATIONAL_ONLY,MEDIUM
R8_low_anomaly_score,POSSIBLE,"C0 anomaly quantiles and top-rank precision differ from P, but the direction varies by quantile and epoch; no isolated anomaly-score intervention was run.","E14/E18 source AP-tail diagnostic",UNKNOWN,LOW
R9_stage_aggregation_dilution,POSSIBLE,"Stage 2 representation and fused-margin drift are larger than early stages, while deployment uses stage aggregation; stage-specific replacement was not run.","E10-E20 source representation diagnostic",CORRELATIONAL_ONLY,MEDIUM
R10_deployment_mismatch,SUPPORTED_SECONDARY_RISK,"Gaussian deployed maps reduce source AP versus raw training maps for both models; C E18 drops 0.167088 versus P 0.068816 and has MAE 0.001986 versus 0.001187.","Same 96 VisA images; raw training probability versus deployed Gaussian map","shared mechanism with a C-specific episode, causal share unknown",MEDIUM
R11_image_pixel_head_disagreement,NOT_PRIMARY,"Classification dominates the fixed industrial fusion and classification/pixel-max ordering is mixed across epochs; no stable C-specific disagreement explains all failures.","E10-E20 source branch decomposition",NOT_SUPPORTED,MEDIUM
R12_generic_optimization_failure,NOT_SUPPORTED,"Corrective P and C0 use matched Adam, FP32, batch, StepLR timing, checkpoint timing, and finite optimizer/scheduler state; residual C-vs-P differences remain after the scheduler fix.","Corrective training audit",NOT_SUPPORTED,HIGH
R13_other,NONE,"No additional primary mechanism is required by the bounded evidence; unexplained target-domain variance remains open.","Current audit scope",UNKNOWN,LOW
